index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color
1410,1,No,Clubs,Auditory,J35E0N,Female,No,47.0,22.0,3.0,15.0,7.0,,23:00,7:00,walk,blue
1411,1,No,Clubs,Visual,W8TRPW,Female,Yes,66.0,20.0,4.0,15.0,18.0,,22:00,6:00,private transport,yellow
1412,0,No,Clubs,Auditory,WX3X4U,Male,Yes,60.0,17.0,4.0,15.0,11.0,90.0,21:00,5:00,public transport,white
1413,0,No,Clubs,Visual,NIDHL5,Male,No,85.0,12.0,6.0,15.0,10.0,99.0,22:00,6:00,private transport,blue
1414,1,No,Clubs,Visual,TX2ZZY,Male,No,47.0,13.0,17.0,15.0,14.0,100.0,22:30,6:30,private transport,black
1415,0,No,Clubs,Auditory,CP57JJ,Male,No,65.0,12.0,9.0,16.0,18.0,,22:30,6:30,private transport,black
1416,2,No,Sports,Visual,CONGWV,Male,No,52.0,11.0,11.0,16.0,7.0,100.0,21:30,5:30,public transport,black
1417,1,Yes,None,Visual,PIKDPT,Male,Yes,88.0,15.0,6.0,16.0,8.0,90.0,22:30,6:30,private transport,black
1418,0,Yes,Arts,Auditory,PV3LPJ,Male,No,79.0,14.0,1.0,16.0,5.0,100.0,21:00,5:00,public transport,blue
1419,0,Yes,None,Visual,2Q86FA,Male,Y,89.0,13.0,3.0,16.0,5.0,96.0,23:00,7:00,walk,red
1420,1,No,Clubs,Auditory,YBGRGZ,Female,No,54.0,12.0,17.0,15.0,16.0,98.0,22:30,6:30,private transport,black
1421,1,Yes,Sports,Auditory,A76N14,Female,Yes,79.0,8.0,9.0,16.0,7.0,92.0,21:00,5:00,public transport,yellow
1422,2,No,Clubs,Visual,OU289A,Female,No,70.0,14.0,9.0,16.0,14.0,90.0,23:30,6:30,private transport,black
1423,1,No,Arts,Auditory,XFQT7R,Female,Yes,51.0,1.0,29.0,15.0,11.0,,21:30,5:30,public transport,white
1424,2,No,Clubs,Visual,HMH81V,Male,Yes,82.0,17.0,0.0,16.0,7.0,97.0,22:00,6:00,private transport,red
1425,0,No,Sports,Auditory,5GCMYD,Female,No,54.0,21.0,0.0,15.0,7.0,91.0,21:00,5:00,public transport,green
1426,2,No,Clubs,Visual,55L8TM,Male,Yes,72.0,12.0,10.0,16.0,7.0,,21:00,5:00,public transport,blue
1427,1,No,Clubs,Auditory,WYOZMN,Male,Yes,63.0,13.0,11.0,15.0,16.0,99.0,22:00,6:00,private transport,black
1428,2,No,Clubs,Visual,82EGDB,Male,No,74.0,14.0,9.0,15.0,14.0,91.0,21:00,5:00,public transport,white
1429,1,No,None,Auditory,123UJJ,Female,No,42.0,15.0,13.0,15.0,1.0,95.0,21:30,5:30,public transport,red
1430,2,Yes,Arts,Visual,OJM2Z3,Female,No,73.0,18.0,0.0,15.0,18.0,91.0,21:00,5:00,public transport,red
1431,2,Yes,Arts,Visual,YHOHSN,Male,No,66.0,14.0,1.0,15.0,12.0,96.0,22:30,6:30,private transport,blue
1432,2,No,Clubs,Visual,CQP018,Female,Yes,56.0,17.0,1.0,16.0,13.0,95.0,21:00,5:00,public transport,red
1433,2,No,Sports,Visual,P67AJI,Male,Yes,68.0,10.0,13.0,15.0,14.0,91.0,21:00,5:00,public transport,green
1434,0,Yes,None,Visual,7B2N32,Male,No,90.0,16.0,0.0,16.0,8.0,,22:30,6:30,private transport,black
1435,1,No,Arts,Auditory,ONTJ2A,Female,Yes,43.0,2.0,22.0,15.0,4.0,97.0,23:00,7:00,walk,red
1436,1,Yes,None,Auditory,TAMX79,Female,Yes,83.0,3.0,14.0,15.0,6.0,95.0,23:00,7:00,walk,black
1437,1,No,None,Auditory,69NJ03,Female,Yes,69.0,17.0,11.0,15.0,18.0,97.0,21:00,5:00,public transport,green
1438,2,No,Arts,Auditory,KO2VF7,Female,Yes,57.0,0.0,20.0,15.0,10.0,92.0,21:30,5:30,public transport,red
1439,0,No,Sports,Auditory,LLINJH,Male,No,69.0,17.0,3.0,16.0,8.0,100.0,21:00,5:00,public transport,red
1440,1,No,Sports,Auditory,KR0O6W,Female,Yes,43.0,1.0,23.0,16.0,4.0,71.0,23:00,6:00,private transport,yellow
1441,2,Yes,None,Visual,5AWK59,Male,Yes,81.0,15.0,3.0,16.0,9.0,95.0,23:00,7:00,walk,green
1442,0,No,Sports,Auditory,GEPZRV,Female,Yes,69.0,18.0,3.0,16.0,15.0,,21:00,5:00,public transport,red
1443,1,Yes,Arts,Visual,AYTTI0,Female,No,51.0,10.0,17.0,16.0,11.0,94.0,23:00,7:00,walk,blue
1444,0,No,None,Auditory,PS5YUN,Male,No,92.0,18.0,4.0,15.0,7.0,91.0,22:00,6:00,private transport,red
1445,1,No,Sports,Auditory,XQZOZO,Male,No,48.0,15.0,10.0,16.0,14.0,55.0,0:30,5:30,public transport,white
1446,0,Yes,None,Auditory,A5JNFL,Male,Yes,91.0,21.0,0.0,16.0,7.0,99.0,22:30,6:30,private transport,black
1447,1,No,Arts,Visual,910CN1,Female,Yes,64.0,11.0,13.0,15.0,19.0,96.0,22:30,6:30,private transport,yellow
1448,1,No,Sports,Visual,OS1CQ6,Male,Yes,63.0,20.0,8.0,15.0,13.0,95.0,22:00,6:00,private transport,yellow
1449,1,No,Sports,Visual,6CY5NO,Female,Yes,60.0,20.0,8.0,15.0,14.0,,22:00,6:00,private transport,green
1450,0,No,None,Auditory,30Z5ED,Male,Yes,87.0,15.0,7.0,16.0,6.0,95.0,21:00,5:00,public transport,yellow
1451,0,No,Clubs,Auditory,3GC37F,Male,Yes,69.0,10.0,11.0,16.0,15.0,98.0,21:30,5:30,public transport,yellow
1452,0,No,Clubs,Auditory,FEU2EO,Female,No,53.0,1.0,20.0,15.0,12.0,99.0,22:00,6:00,private transport,white
1453,1,Yes,Arts,Auditory,Q3XJOU,Male,No,50.0,22.0,3.0,16.0,12.0,92.0,22:30,6:30,private transport,white
1454,2,No,Sports,Visual,1HMOLA,Male,No,55.0,14.0,8.0,15.0,10.0,90.0,21:00,5:00,public transport,white
1455,1,No,Arts,Visual,MLAIA4,Female,No,,20.0,8.0,16.0,4.0,94.0,21:30,5:30,public transport,green
1456,1,No,Sports,Auditory,SPDRCE,Female,No,57.0,19.0,12.0,15.0,8.0,91.0,22:00,6:00,private transport,green
1457,1,Yes,Sports,Auditory,WIKBDE,Male,No,76.0,10.0,12.0,15.0,17.0,100.0,21:30,5:30,public transport,blue
1458,1,Yes,Sports,Visual,CXW5YA,Female,No,47.0,3.0,27.0,16.0,6.0,90.0,22:00,6:00,private transport,white
1459,0,No,None,Visual,TAATDW,Male,No,82.0,19.0,5.0,15.0,10.0,98.0,21:00,5:00,public transport,green
1460,2,Yes,Sports,Auditory,6YUHOD,Female,Yes,45.0,3.0,20.0,15.0,11.0,59.0,0:00,5:00,public transport,green
1461,2,Yes,None,Visual,WXPGC3,Male,No,73.0,14.0,0.0,16.0,13.0,100.0,22:00,6:00,private transport,blue
1462,0,No,Arts,Visual,1LWPH4,Female,Yes,53.0,0.0,20.0,15.0,16.0,93.0,21:00,5:00,public transport,blue
1463,2,No,None,Auditory,LF2XED,Female,No,62.0,18.0,4.0,16.0,7.0,91.0,23:00,7:00,walk,green
1464,1,No,SPORTS,Auditory,4NMWGF,Male,No,44.0,11.0,17.0,16.0,2.0,96.0,22:00,6:00,private transport,black
1465,0,No,Sports,Auditory,5LJ4XR,Female,Y,71.0,4.0,19.0,15.0,13.0,97.0,21:30,5:30,public transport,blue
1466,1,No,Sports,Visual,E5KDL3,Male,No,50.0,25.0,5.0,15.0,7.0,67.0,0:00,6:00,private transport,white
1467,1,Yes,Arts,Visual,MWKVDK,Male,Yes,78.0,11.0,6.0,15.0,6.0,99.0,22:00,6:00,private transport,yellow
1468,0,No,Sports,Visual,VGJXLX,Female,No,79.0,21.0,2.0,15.0,10.0,96.0,21:30,5:30,public transport,blue
1469,1,Yes,None,Visual,MKANJG,Female,Yes,83.0,9.0,8.0,5.0,9.0,94.0,21:30,5:30,public transport,green
1470,0,No,Clubs,Auditory,DAUS6M,Female,No,53.0,20.0,1.0,16.0,12.0,98.0,22:00,6:00,private transport,yellow
1471,1,Yes,Clubs,Auditory,F56PKS,Male,Yes,52.0,17.0,8.0,16.0,7.0,92.0,21:30,5:30,public transport,black
1472,1,No,Sports,Auditory,A9KNT4,Male,Yes,51.0,15.0,10.0,16.0,5.0,92.0,21:00,5:00,public transport,blue
1473,1,Yes,None,Visual,5MHA77,Male,Yes,74.0,15.0,6.0,16.0,11.0,94.0,21:30,5:30,public transport,blue
1474,1,No,Arts,Auditory,IBPTKL,Female,N,62.0,2.0,26.0,15.0,19.0,98.0,23:00,7:00,walk,white
1475,0,No,Clubs,Auditory,Y2BCWA,Male,No,58.0,11.0,10.0,15.0,17.0,96.0,23:00,7:00,walk,black
1476,2,Yes,Sports,Visual,XS82UH,Male,No,78.0,14.0,0.0,16.0,9.0,94.0,23:00,7:00,walk,yellow
1477,0,No,None,Auditory,USEBAK,Female,Yes,90.0,9.0,13.0,16.0,9.0,90.0,21:00,5:00,public transport,yellow
1478,1,Yes,Arts,Auditory,YH39DV,Female,No,48.0,13.0,16.0,15.0,10.0,99.0,22:30,6:30,private transport,yellow
1479,1,Yes,None,Auditory,Q4ZVY6,Male,Yes,70.0,19.0,2.0,16.0,12.0,92.0,22:00,6:00,private transport,green
1480,0,No,None,Visual,YQNG1M,Female,Yes,86.0,16.0,7.0,16.0,10.0,97.0,21:00,5:00,public transport,yellow
1481,1,No,Arts,Auditory,PET1S3,Female,No,47.0,2.0,27.0,16.0,1.0,78.0,22:30,6:30,private transport,green
1482,1,Yes,Clubs,Auditory,93CLRK,Male,Yes,73.0,18.0,2.0,16.0,18.0,97.0,21:30,5:30,public transport,blue
1483,1,Yes,Clubs,Auditory,6PQIOD,Male,No,43.0,20.0,4.0,15.0,9.0,99.0,22:30,6:30,private transport,black
1484,2,Yes,Sports,Auditory,5YGREI,Female,Yes,65.0,0.0,16.0,16.0,11.0,98.0,22:00,6:00,private transport,white
1485,1,No,Sports,Auditory,SEZJH5,Male,Yes,48.0,27.0,3.0,16.0,6.0,80.0,21:30,5:30,public transport,yellow
1486,1,Yes,None,Visual,8YDCV7,Male,Yes,77.0,13.0,4.0,16.0,7.0,91.0,21:30,5:30,public transport,red
1487,1,Yes,Sports,Auditory,UK4BFG,Male,No,46.0,25.0,5.0,16.0,5.0,61.0,23:00,5:00,public transport,green
1488,1,Yes,None,Auditory,4V17WK,Male,Yes,78.0,10.0,11.0,15.0,10.0,93.0,23:00,7:00,walk,yellow
1489,1,No,None,Auditory,G2G37K,Male,Yes,62.0,17.0,11.0,15.0,18.0,98.0,21:00,5:00,public transport,red
1490,1,No,Arts,Auditory,U4JSMD,Male,No,58.0,10.0,17.0,16.0,17.0,93.0,23:00,7:00,walk,red
1491,0,No,None,Visual,AK8Q9L,Female,Yes,98.0,9.0,12.0,16.0,6.0,97.0,21:00,5:00,public transport,red
1492,1,Yes,Clubs,Auditory,7YEKHH,Male,Yes,45.0,22.0,2.0,16.0,1.0,81.0,21:00,5:00,public transport,white
1493,1,Yes,None,Auditory,TUQPF9,Male,Y,78.0,11.0,6.0,5.0,5.0,90.0,22:30,6:30,private transport,blue
1494,2,No,Arts,Visual,HYNF0J,Male,Yes,60.0,11.0,11.0,16.0,10.0,93.0,21:00,5:00,public transport,black
1495,2,No,Clubs,Auditory,POPKXB,Male,Yes,59.0,19.0,1.0,15.0,14.0,95.0,21:00,5:00,public transport,yellow
1496,1,No,ARTS,Auditory,VWOEU1,Male,Yes,64.0,15.0,12.0,15.0,17.0,96.0,21:00,5:00,public transport,black
1497,2,No,Clubs,Visual,SE83AQ,Male,No,71.0,17.0,5.0,16.0,14.0,97.0,21:30,5:30,public transport,white
1498,1,No,None,Visual,FRZTOU,Male,Yes,72.0,16.0,8.0,15.0,16.0,96.0,21:00,5:00,public transport,red
1499,1,No,Clubs,Auditory,FM5QDI,Female,No,,7.0,18.0,15.0,16.0,,22:00,6:00,private transport,red
1500,1,No,Arts,Auditory,UHPZTX,Female,No,49.0,21.0,8.0,15.0,14.0,,1:30,5:30,public transport,green
1501,0,No,None,Auditory,W5HRLK,Male,Yes,87.0,12.0,10.0,15.0,6.0,91.0,21:30,5:30,public transport,blue
1502,1,Yes,Arts,Visual,QQ2RVQ,Male,Yes,73.0,17.0,3.0,15.0,6.0,94.0,23:00,7:00,walk,red
1503,2,No,None,Visual,HWBNZF,Female,Yes,83.0,1.0,16.0,16.0,10.0,98.0,21:00,5:00,public transport,white
1504,2,Yes,Clubs,Auditory,RCK4DG,Female,No,42.0,14.0,8.0,15.0,9.0,52.0,1:00,6:00,private transport,yellow
1505,1,No,Clubs,Visual,SSYND1,Male,No,57.0,24.0,2.0,15.0,14.0,97.0,23:00,7:00,walk,yellow
1506,0,No,Sports,Auditory,0HZUYK,Female,Yes,65.0,20.0,2.0,15.0,14.0,93.0,22:30,6:30,private transport,red
1507,0,No,Arts,Auditory,J6BFRY,Male,No,72.0,16.0,5.0,16.0,16.0,98.0,22:00,6:00,private transport,white
1508,2,No,Sports,Auditory,KV0HWN,Female,No,44.0,12.0,12.0,16.0,3.0,48.0,2:00,7:00,walk,green
1509,2,No,None,Visual,Q0WOKP,Male,No,67.0,10.0,12.0,15.0,15.0,100.0,21:00,5:00,public transport,blue
1510,1,Yes,None,Auditory,LJ4COI,Female,Yes,84.0,13.0,4.0,15.0,6.0,99.0,23:00,7:00,walk,red
1511,0,Yes,None,Visual,B1YT3X,Female,Yes,87.0,6.0,10.0,16.0,7.0,96.0,21:00,5:00,public transport,red
1512,1,No,Arts,Visual,R579X8,Female,Yes,72.0,6.0,18.0,16.0,17.0,96.0,21:00,5:00,public transport,black
1513,0,No,Arts,Visual,NK0Z62,Male,No,92.0,21.0,2.0,6.0,8.0,93.0,22:00,6:00,private transport,black
1514,1,Yes,Sports,Auditory,667CU0,Female,No,81.0,5.0,12.0,15.0,10.0,90.0,21:30,5:30,public transport,red
1515,1,No,Clubs,Auditory,LOB4QJ,Male,No,34.0,16.0,12.0,15.0,5.0,95.0,21:30,5:30,public transport,black
1516,2,No,Arts,Auditory,4QE87A,Male,Yes,,13.0,10.0,15.0,12.0,90.0,23:00,7:00,walk,white
1517,0,No,None,Auditory,72S4UR,Male,Yes,81.0,14.0,7.0,16.0,9.0,,23:00,7:00,walk,green
1518,1,Yes,Arts,Visual,G19JQM,Male,Yes,78.0,14.0,7.0,16.0,10.0,92.0,21:00,5:00,public transport,green
1519,1,Yes,Clubs,Auditory,YN3O8Q,Male,Yes,85.0,10.0,12.0,16.0,8.0,90.0,23:00,7:00,walk,red
1520,0,No,Arts,Auditory,IWU0AG,Female,Yes,59.0,6.0,16.0,16.0,18.0,97.0,21:00,5:00,public transport,green
1521,1,Yes,Arts,Visual,Z8Y61R,Female,Yes,82.0,14.0,3.0,16.0,8.0,,21:00,5:00,public transport,black
1522,0,No,Clubs,Auditory,KNE2K9,Male,Yes,91.0,16.0,5.0,16.0,9.0,,22:30,6:30,private transport,black
1523,0,Yes,Sports,Visual,13XASG,Female,Yes,86.0,14.0,2.0,15.0,8.0,99.0,21:00,5:00,public transport,blue
1524,0,No,None,Visual,GWQRF2,Female,Yes,96.0,3.0,16.0,16.0,6.0,92.0,22:00,5:00,public transport,green
1525,2,No,Clubs,Auditory,1BQN6P,Female,Yes,56.0,19.0,1.0,16.0,13.0,95.0,23:00,7:00,walk,black
1526,0,No,Clubs,Visual,9JO9I4,Male,No,60.0,16.0,4.0,15.0,8.0,98.0,21:00,5:00,public transport,white
1527,1,No,Arts,Auditory,O4EI8V,Female,No,52.0,20.0,5.0,16.0,16.0,93.0,22:30,6:30,private transport,black
1528,0,No,None,Auditory,OIDKAI,Male,No,96.0,23.0,2.0,16.0,5.0,98.0,23:00,7:00,walk,black
1529,1,No,Clubs,Auditory,XWU6QG,Female,No,55.0,18.0,12.0,15.0,10.0,92.0,21:00,5:00,public transport,green
1530,1,Yes,Clubs,Auditory,2QFT5D,Female,No,42.0,19.0,9.0,15.0,6.0,83.0,22:00,6:00,private transport,red
1531,0,Yes,None,Visual,HQ6SYF,Female,No,82.0,14.0,1.0,15.0,6.0,92.0,21:00,5:00,public transport,black
1532,1,No,Sports,Auditory,1R0VBB,Female,Yes,67.0,12.0,16.0,15.0,8.0,99.0,21:30,5:30,public transport,red
1533,1,Yes,NONE,Auditory,IYFM63,Female,No,88.0,7.0,10.0,16.0,6.0,,21:30,5:30,public transport,blue
1534,0,Yes,Arts,Visual,II4ZON,Female,Yes,70.0,8.0,8.0,16.0,15.0,95.0,22:30,6:30,private transport,blue
1535,0,No,Arts,Visual,L5A7EE,Male,No,81.0,10.0,14.0,16.0,8.0,94.0,23:00,7:00,walk,yellow
1536,2,No,Clubs,Visual,MCEHCD,Male,No,70.0,13.0,10.0,16.0,6.0,96.0,21:30,5:30,public transport,red
1537,0,No,Arts,Visual,TKQOHT,Female,Yes,76.0,19.0,2.0,15.0,6.0,97.0,21:00,5:00,public transport,white
1538,1,No,Clubs,Auditory,7RJ597,Female,Yes,64.0,26.0,2.0,15.0,13.0,93.0,21:00,5:00,public transport,white
1539,1,No,Sports,Auditory,BOVXWT,Male,No,51.0,12.0,13.0,15.0,14.0,97.0,22:00,6:00,private transport,red
1540,2,No,Sports,Auditory,3F7V8E,Male,No,45.0,20.0,3.0,15.0,14.0,60.0,1:30,6:30,private transport,black
1541,2,No,Arts,Auditory,BVSJOG,Male,No,53.0,13.0,6.0,15.0,13.0,96.0,22:30,6:30,private transport,blue
1542,2,No,Arts,Auditory,VCDF2I,Male,No,54.0,15.0,7.0,15.0,16.0,97.0,22:00,6:00,private transport,blue
1543,0,No,None,Visual,GILC1F,Female,No,67.0,8.0,20.0,15.0,5.0,92.0,21:00,5:00,public transport,blue
1544,1,No,Arts,Auditory,MCPHDS,Female,No,52.0,3.0,22.0,15.0,6.0,,22:00,6:00,private transport,black
1545,1,No,Sports,Auditory,DJ4J6R,Female,No,59.0,21.0,6.0,16.0,14.0,100.0,22:00,6:00,private transport,yellow
1546,0,No,Clubs,Auditory,O3RISU,Female,No,59.0,18.0,4.0,15.0,19.0,98.0,21:00,5:00,public transport,black
1547,2,No,None,Visual,PSQNOH,Male,No,84.0,14.0,3.0,16.0,5.0,93.0,21:00,5:00,public transport,green
1548,1,Yes,None,Visual,RJUKMD,Female,N,51.0,5.0,22.0,15.0,8.0,95.0,21:00,5:00,public transport,white
1549,1,No,Clubs,Visual,JRD6Z4,Female,No,49.0,2.0,28.0,16.0,8.0,97.0,21:30,5:30,public transport,red
1550,0,Yes,None,Visual,FHJ1HS,Female,Yes,87.0,2.0,14.0,15.0,8.0,90.0,22:00,6:00,private transport,white
1551,2,No,Arts,Auditory,R4VI4O,Female,Yes,58.0,16.0,4.0,16.0,19.0,96.0,23:00,7:00,walk,blue
1552,1,No,Sports,Auditory,Q52M0M,Male,Yes,62.0,12.0,15.0,15.0,10.0,92.0,23:00,7:00,walk,yellow
1553,1,Yes,Sports,Auditory,W43YQW,Male,No,48.0,14.0,11.0,15.0,10.0,93.0,22:30,6:30,private transport,white
1554,0,Yes,None,Visual,59GUAL,Female,Yes,79.0,9.0,11.0,15.0,7.0,95.0,22:30,6:30,private transport,yellow
1555,0,No,Arts,Auditory,9P6IN8,Male,Yes,57.0,20.0,7.0,15.0,14.0,95.0,21:30,5:30,public transport,red
1556,0,No,Arts,Auditory,8VK28K,Male,Y,91.0,18.0,7.0,16.0,7.0,95.0,23:00,7:00,walk,blue
1557,1,No,Arts,Visual,K5H5PB,Male,Yes,59.0,14.0,12.0,15.0,11.0,98.0,21:30,5:30,public transport,white
1558,1,No,Clubs,Visual,DMX8QP,Male,Yes,53.0,29.0,1.0,16.0,11.0,94.0,23:00,7:00,walk,blue
1559,0,Yes,None,Visual,SNXSFW,Female,Yes,84.0,14.0,6.0,15.0,6.0,98.0,23:00,7:00,walk,white
1560,2,No,None,Auditory,2NTNAT,Female,Yes,66.0,14.0,5.0,16.0,12.0,93.0,21:30,5:30,public transport,white
1561,1,No,Clubs,Visual,D90UEV,Female,Yes,78.0,4.0,21.0,16.0,7.0,93.0,23:00,7:00,walk,blue
1562,0,No,Sports,Visual,M9DH2H,Male,No,85.0,12.0,12.0,15.0,8.0,93.0,22:00,6:00,private transport,black
1563,1,Yes,Clubs,Visual,DOVIB6,Female,Yes,96.0,0.0,17.0,16.0,9.0,93.0,22:30,6:30,private transport,green
1564,1,Yes,None,Auditory,WJZGIV,Female,Yes,83.0,10.0,7.0,15.0,8.0,95.0,22:00,6:00,private transport,black
1565,0,No,Sports,Auditory,7FYNHV,Male,Yes,69.0,19.0,3.0,15.0,18.0,99.0,22:00,6:00,private transport,black
1566,1,Yes,Clubs,Visual,HVUDQQ,Female,Yes,99.0,13.0,8.0,15.0,9.0,94.0,22:00,6:00,private transport,black
1567,0,No,Sports,Visual,340D4F,Male,Yes,84.0,10.0,13.0,15.0,9.0,99.0,21:30,5:30,public transport,yellow
1568,1,Yes,Sports,Auditory,1L7273,Male,Yes,48.0,19.0,6.0,16.0,7.0,73.0,0:00,7:00,walk,yellow
1569,1,Yes,Sports,Auditory,ZB9JK7,Female,No,55.0,0.0,25.0,16.0,13.0,99.0,21:30,5:30,public transport,black
1570,2,No,Arts,Auditory,J9FHFJ,Female,Y,70.0,10.0,9.0,16.0,15.0,95.0,23:00,7:00,walk,black
1571,2,No,None,Auditory,F8WIHG,Male,No,53.0,12.0,8.0,15.0,18.0,92.0,21:00,5:00,public transport,red
1572,1,Yes,Clubs,Auditory,QVZW4L,Male,Yes,78.0,13.0,8.0,16.0,7.0,100.0,21:30,5:30,public transport,red
1573,2,No,Clubs,Auditory,734240,Male,Yes,42.0,20.0,2.0,16.0,3.0,97.0,22:00,6:00,private transport,yellow
1574,2,No,Clubs,Auditory,69VRLB,Male,Yes,,22.0,0.0,15.0,10.0,99.0,23:00,7:00,walk,yellow
1575,1,No,Clubs,Auditory,RYHPB7,Female,No,54.0,0.0,24.0,15.0,14.0,98.0,21:00,5:00,public transport,green
1576,1,No,Sports,Visual,G9CB5H,Male,No,66.0,20.0,4.0,15.0,16.0,97.0,21:00,5:00,public transport,red
1577,1,No,Sports,Auditory,Y72RW4,Female,No,45.0,4.0,20.0,16.0,13.0,48.0,1:00,5:00,public transport,red
1578,0,Yes,None,Visual,4YKB99,Male,No,80.0,11.0,4.0,15.0,9.0,96.0,22:00,6:00,private transport,blue
1579,1,Yes,Sports,Auditory,NDXRTZ,Male,Yes,73.0,14.0,6.0,15.0,13.0,93.0,22:00,6:00,private transport,green
1580,1,No,Arts,Visual,Z9YY3M,Female,No,52.0,25.0,5.0,15.0,18.0,98.0,22:00,6:00,private transport,green
1581,0,No,Sports,Visual,A4EVPM,Male,Yes,94.0,15.0,8.0,15.0,9.0,93.0,21:30,5:30,public transport,green
1582,1,No,Sports,Auditory,0LTFJD,Male,No,44.0,23.0,5.0,16.0,4.0,94.0,22:30,6:30,private transport,blue
1583,2,Yes,Clubs,Visual,WSA3JU,Female,No,73.0,15.0,5.0,15.0,17.0,97.0,21:00,5:00,public transport,black
1584,1,No,None,Visual,FE5QO4,Male,Yes,78.0,17.0,8.0,16.0,5.0,93.0,22:00,6:00,private transport,white
1585,1,Yes,Clubs,Visual,AH2XZA,Female,No,47.0,19.0,11.0,15.0,1.0,63.0,0:00,5:00,public transport,red
1586,0,No,Arts,Visual,T5H8UW,Female,No,93.0,1.0,20.0,15.0,7.0,97.0,21:00,5:00,public transport,red
1587,2,No,Clubs,Visual,3N8W73,Male,No,79.0,17.0,0.0,16.0,9.0,90.0,21:00,5:00,public transport,white
1588,2,Yes,Arts,Visual,A2KEXR,Male,Yes,86.0,10.0,8.0,16.0,7.0,92.0,22:30,6:30,private transport,yellow
1589,0,No,Clubs,Auditory,EX7HUN,Male,No,71.0,20.0,2.0,15.0,18.0,98.0,22:00,6:00,private transport,blue
1590,1,No,Sports,Visual,TC88X8,Female,Yes,58.0,16.0,8.0,16.0,17.0,95.0,22:30,6:30,private transport,white
1591,2,No,Sports,Auditory,ZQ3CS8,Female,Yes,53.0,1.0,21.0,16.0,6.0,98.0,21:00,5:00,public transport,green
1592,1,No,NONE,Auditory,YDBEA5,Male,Yes,61.0,25.0,2.0,15.0,5.0,94.0,23:00,7:00,walk,yellow
1593,2,No,None,Auditory,SCSMZ2,Male,Yes,64.0,19.0,1.0,16.0,10.0,96.0,21:00,5:00,public transport,red
1594,1,No,Sports,Visual,X03UJW,Female,No,50.0,18.0,8.0,15.0,5.0,53.0,0:30,5:30,public transport,red
1595,2,Yes,Clubs,Auditory,YB3JD3,Female,Yes,56.0,1.0,15.0,16.0,12.0,91.0,23:00,7:00,walk,black
1596,0,No,Clubs,Auditory,EUN8EL,Female,Yes,58.0,20.0,2.0,15.0,17.0,96.0,21:30,5:30,public transport,yellow
1597,1,No,Clubs,Visual,BS4AUN,Female,No,47.0,3.0,27.0,15.0,1.0,93.0,21:30,5:30,public transport,yellow
1598,0,Yes,Clubs,Visual,IM0A1O,Male,Yes,79.0,17.0,0.0,16.0,8.0,100.0,22:00,6:00,private transport,black
1599,1,Yes,Clubs,Auditory,KP4ZG9,Male,No,76.0,12.0,9.0,15.0,19.0,94.0,23:00,7:00,walk,white
1600,1,Yes,Clubs,Visual,6YTC5U,Female,Yes,61.0,12.0,15.0,15.0,18.0,93.0,22:30,6:30,private transport,yellow
1601,2,No,Clubs,Auditory,D7P7MN,Male,Yes,71.0,12.0,7.0,5.0,12.0,99.0,22:00,6:00,private transport,red
1602,0,Yes,None,Visual,YV2P3X,Male,Yes,87.0,17.0,3.0,16.0,7.0,94.0,23:00,7:00,walk,blue
1603,1,No,Clubs,Visual,LSKK5H,Female,Yes,59.0,17.0,11.0,16.0,6.0,91.0,21:30,5:30,public transport,blue
1604,1,No,None,Visual,1K72KC,Female,Yes,75.0,12.0,12.0,16.0,14.0,96.0,22:30,6:30,private transport,yellow
1605,2,No,None,Visual,MYUN71,Female,Yes,68.0,3.0,20.0,15.0,7.0,,21:00,5:00,public transport,white
1606,2,No,Clubs,Visual,5F0W17,Female,Yes,71.0,2.0,17.0,16.0,17.0,99.0,23:00,7:00,walk,black
1607,0,No,None,Auditory,16HBI6,Female,Yes,64.0,16.0,11.0,15.0,14.0,93.0,22:30,5:30,public transport,blue
1608,1,No,Arts,Auditory,0FK4C8,Male,Yes,59.0,20.0,11.0,15.0,8.0,99.0,21:00,5:00,public transport,white
1609,1,Yes,Arts,Auditory,AT626E,Male,Yes,78.0,18.0,2.0,15.0,5.0,91.0,23:00,7:00,walk,black
1610,1,No,Clubs,Auditory,K1EOS5,Male,Yes,50.0,22.0,7.0,16.0,6.0,68.0,0:30,5:30,public transport,white
1611,0,No,Sports,Auditory,TI7L17,Male,Yes,69.0,15.0,6.0,15.0,13.0,98.0,22:30,6:30,private transport,green
1612,1,Yes,Arts,Auditory,J4YS0A,Female,No,32.0,24.0,4.0,15.0,4.0,97.0,23:00,7:00,walk,green
1613,0,No,Sports,Auditory,2Q15VF,Female,No,93.0,5.0,20.0,16.0,8.0,97.0,21:00,5:00,public transport,green
1614,0,No,Sports,Visual,G1RENW,Female,No,82.0,24.0,0.0,16.0,6.0,94.0,21:30,5:30,public transport,yellow
1615,2,No,Sports,Auditory,L7BV67,Female,No,59.0,0.0,22.0,16.0,7.0,93.0,21:30,5:30,public transport,black
1616,1,Yes,Sports,Auditory,28CBE0,Female,Yes,79.0,8.0,12.0,16.0,8.0,92.0,21:30,5:30,public transport,green
